Time,X Axis Acceleration,Y Axis Acceleration,Z Axis Acceleration,
0,0.291,0.019,0.925,0.9698798895
20,0.291,0.019,0.926,0.9708336624
50,0.291,0.019,0.926,0.9708336624
80,0.291,0.019,0.926,0.9708336624
100,0.291,0.019,0.926,0.9708336624
130,0.291,0.019,0.926,0.9708336624
150,0.292,0.019,0.926,0.9711338734
180,0.292,0.019,0.925,0.9701803956
210,0.292,0.019,0.925,0.9701803956
230,0.292,0.019,0.925,0.9701803956
260,0.292,0.02,0.924,0.9692471305
290,0.292,0.02,0.924,0.9692471305
310,0.292,0.02,0.924,0.9692471305
340,0.292,0.02,0.924,0.9692471305
360,0.292,0.02,0.924,0.9692471305
390,0.292,0.02,0.924,0.9692471305
420,0.292,0.019,0.924,0.9692270116
440,0.292,0.019,0.924,0.9692270116
470,0.292,0.019,0.924,0.9692270116
500,0.292,0.019,0.924,0.9692270116
520,0.292,0.019,0.924,0.9692270116
550,0.291,0.018,0.924,0.9689071163
570,0.291,0.018,0.923,0.9679535113
600,0.291,0.018,0.923,0.9679535113
630,0.291,0.019,0.923,0.9679726236
660,0.291,0.019,0.923,0.9679726236
680,0.291,0.019,0.923,0.9679726236
710,0.292,0.019,0.923,0.9682737216
730,0.292,0.019,0.923,0.9682737216
760,0.292,0.019,0.922,0.967320526
790,0.292,0.019,0.922,0.967320526
810,0.292,0.019,0.922,0.967320526
840,0.293,0.019,0.922,0.9676228604
860,0.293,0.019,0.922,0.9676228604
890,0.293,0.019,0.922,0.9676228604
920,0.292,0.019,0.922,0.967320526
940,0.292,0.019,0.922,0.967320526
970,0.292,0.02,0.922,0.9673406846
990,0.292,0.02,0.922,0.9673406846
1020,0.292,0.02,0.923,0.9682938604
1050,0.293,0.02,0.923,0.968595891
1070,0.293,0.02,0.923,0.968595891
1100,0.294,0.02,0.923,0.9688988595
1130,0.293,0.021,0.924,0.9695700078
1150,0.293,0.021,0.924,0.9695700078
1180,0.293,0.02,0.924,0.9695488642
1210,0.293,0.02,0.925,0.970501932
1230,0.293,0.02,0.925,0.970501932
1260,0.293,0.019,0.925,0.9704818391
1280,0.293,0.019,0.924,0.9695287515
1310,0.292,0.019,0.924,0.9692270116
1340,0.292,0.019,0.924,0.9692270116
1360,0.292,0.019,0.924,0.9692270116
1390,0.292,0.019,0.924,0.9692270116
1420,0.292,0.02,0.924,0.9692471305
1440,0.292,0.02,0.924,0.9692471305
1470,0.292,0.02,0.924,0.9692471305
1490,0.292,0.02,0.924,0.9692471305
1520,0.292,0.02,0.924,0.9692471305
1550,0.291,0.02,0.924,0.9689463349
1580,0.291,0.02,0.924,0.9689463349
1600,0.291,0.02,0.924,0.9689463349
1630,0.291,0.02,0.923,0.9679927686
1650,0.29,0.019,0.923,0.9676724652
1680,0.29,0.019,0.923,0.9676724652
1710,0.29,0.019,0.923,0.9676724652
1730,0.29,0.018,0.923,0.967653347
1760,0.289,0.018,0.922,0.9664000207
1780,0.29,0.018,0.922,0.9666995397
1810,0.29,0.019,0.922,0.9667186768
1840,0.29,0.019,0.922,0.9667186768
1860,0.29,0.019,0.922,0.9667186768
1890,0.29,0.019,0.922,0.9667186768
1910,0.29,0.019,0.922,0.9667186768
1940,0.29,0.019,0.922,0.9667186768
1970,0.291,0.019,0.922,0.9670191311
1990,0.29,0.019,0.922,0.9667186768
2020,0.29,0.019,0.922,0.9667186768
2050,0.291,0.02,0.921,0.9660859175
2070,0.29,0.02,0.921,0.9657851728
2100,0.29,0.02,0.921,0.9657851728
2120,0.29,0.02,0.921,0.9657851728
2150,0.29,0.02,0.921,0.9657851728
2180,0.291,0.019,0.921,0.9660657328
2200,0.291,0.019,0.921,0.9660657328
2230,0.291,0.019,0.921,0.9660657328
2260,0.291,0.019,0.921,0.9660657328
2280,0.291,0.019,0.921,0.9660657328
2310,0.291,0.019,0.921,0.9660657328
2340,0.291,0.019,0.921,0.9660657328
2360,0.292,0.02,0.921,0.9663876034
2390,0.292,0.02,0.921,0.9663876034
2410,0.292,0.02,0.921,0.9663876034
2440,0.292,0.02,0.922,0.9673406846
2470,0.292,0.02,0.922,0.9673406846
2500,0.292,0.019,0.922,0.967320526
2520,0.292,0.019,0.922,0.967320526
2550,0.292,0.019,0.923,0.9682737216
2570,0.291,0.019,0.923,0.9679726236
2600,0.291,0.019,0.923,0.9679726236
2630,0.291,0.019,0.923,0.9679726236
2650,0.291,0.018,0.923,0.9679535113
2680,0.291,0.018,0.923,0.9679535113
2700,0.291,0.017,0.924,0.9688890545
2730,0.291,0.017,0.924,0.9688890545
2760,0.291,0.017,0.924,0.9688890545
2780,0.292,0.016,0.924,0.9691728432
2810,0.292,0.016,0.924,0.9691728432
2830,0.292,0.016,0.925,0.9701262804
2860,0.293,0.016,0.925,0.9704277407
2890,0.293,0.015,0.924,0.9694586118
2910,0.293,0.015,0.924,0.9694586118
2940,0.293,0.015,0.924,0.9694586118
2970,0.293,0.015,0.924,0.9694586118
2990,0.293,0.015,0.924,0.9694586118
3020,0.293,0.014,0.924,0.9694436549
3040,0.293,0.014,0.923,0.9684905782
3070,0.293,0.013,0.923,0.9684766389
3100,0.293,0.013,0.921,0.9665707424
3120,0.294,0.013,0.92,0.9659218395
3150,0.294,0.013,0.919,0.9649694296
3180,0.294,0.014,0.919,0.9649834195
3200,0.294,0.014,0.918,0.9640311198
3230,0.294,0.014,0.918,0.9640311198
3250,0.294,0.015,0.917,0.9630939726
3280,0.295,0.016,0.917,0.9634157981
3310,0.296,0.017,0.917,0.9637395914
3330,0.297,0.018,0.917,0.9640653505
3360,0.294,0.018,0.918,0.9640975054
3390,0.289,0.017,0.921,0.9654278844
3420,0.287,0.018,0.921,0.964849211
3440,0.285,0.018,0.921,0.96425619
3470,0.284,0.018,0.921,0.9639610988
3490,0.283,0.018,0.92,0.9627112755
3520,0.284,0.018,0.923,0.9658721447
3550,0.285,0.019,0.925,0.9680965861
3570,0.285,0.022,0.927,0.9700711314
3600,0.285,0.024,0.929,0.9720298349
3620,0.285,0.028,0.931,0.9740482534
3650,0.285,0.03,0.933,0.976019467
3680,0.285,0.031,0.934,0.977006653
3700,0.285,0.033,0.936,0.9789841674
3730,0.285,0.032,0.936,0.9789509692
3750,0.285,0.032,0.937,0.9799071385
3780,0.286,0.031,0.936,0.9792103962
3810,0.286,0.03,0.936,0.9791792481
3830,0.287,0.029,0.935,0.9784860755
3860,0.288,0.028,0.935,0.9787507344
3890,0.289,0.027,0.933,0.9771074659
3910,0.29,0.026,0.932,0.9764220399
3940,0.29,0.026,0.932,0.9764220399
3960,0.291,0.026,0.93,0.9748112638
3990,0.293,0.027,0.929,0.974483966
4020,0.293,0.029,0.928,0.9735882086
4040,0.29,0.034,0.928,0.9728514789
4070,0.289,0.034,0.929,0.9735080893
4100,0.289,0.033,0.929,0.9734736771
4120,0.289,0.031,0.928,0.9724535979
